Original Institue Holdout and Pre-HoldOut,,,,,,,,,,,,,,,,,,,,,,,,
,accuracy,f1,precision,recall,balanced_ac,roc_auc,tn,fp,fn,tp,roc_curve,fold,,,,,,,,,,,,
,InstituteHold,"1,3",Screen,0.88235294,0.75862069,0.58823529,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 1.0]","[0.0, 0.08333333333333333, 0.5833333333333334, 0.5833333333333334, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 1.0, 1.0]","[inf, 0.572945237159729, 0.47102096676826477, 0.4683699309825897, 0.46109530329704285, 0.45028620958328247, 0.448662132024765, 0.43719202280044556, 0.43677064776420593, 0.43037641048431396, 0.4302232265472412, 0.4257025122642517, 0.42368268966674805, 0.32553890347480774]",5,17,0,7,PreHold,0.5,0.444444444,0.285714286,"[0.0, 0.2, 0.2, 0.4, 0.4, 1.0, 1.0]","[0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0]","[inf, 0.5528905391693115, 0.5491729974746704, 0.5365469455718994, 0.4488770663738251, 0.3484993577003479, 0.3484748899936676]",1,3,2,3
,InstituteHold,"1,3",Day 0,0.8875,0.80769231,0.66666667,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.25, 0.25, 0.75, 0.75, 1.0]","[0.0, 0.1, 0.7, 0.7, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]","[inf, 0.536107063293457, 0.47315719723701477, 0.42141714692115784, 0.42135417461395264, 0.41246530413627625, 0.4078432619571686, 0.3586002588272095, 0.3572161793708801, 0.3208872079849243]",5,16,0,5,PreHold,0.8,0.375,0,"[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0]","[inf, 0.4771985709667206, 0.38465172052383423, 0.3383505642414093, 0.33774077892303467]",0,3,0,5
,InstituteHold,"1,3",Adj Wk 1,0.89285714,0.75,0.57142857,"[0.0, 0.0, 0.0, 0.21428571428571427, 0.21428571428571427, 0.8571428571428571, 0.8571428571428571, 1.0]","[0.0, 0.1, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]","[inf, 0.5753424167633057, 0.45199042558670044, 0.43625956773757935, 0.4349258244037628, 0.3696686923503876, 0.3641430735588074, 0.33966973423957825]",4,14,0,6,PreHold,1,0.75,0.5,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.3333333333333333, 1.0, 1.0]","[inf, 0.5091408491134644, 0.4767746925354004, 0.30676063895225525]",1,5,0,2
,InstituteHold,"1,3",Overall,0.88962766,0.7721519,0.60869565,"[0.0, 0.0, 0.0, 0.02127659574468085, 0.02127659574468085, 0.0425531914893617, 0.0425531914893617, 0.1702127659574468, 0.1702127659574468, 0.2127659574468085, 0.2127659574468085, 0.2553191489361702, 0.2553191489361702, 0.2978723404255319, 0.2978723404255319, 0.3191489361702128, 0.3191489361702128, 0.48936170212765956, 0.48936170212765956, 0.8085106382978723, 0.8085106382978723, 0.8723404255319149, 0.8723404255319149, 1.0]","[0.0, 0.03125, 0.625, 0.625, 0.71875, 0.71875, 0.75, 0.75, 0.78125, 0.78125, 0.8125, 0.8125, 0.84375, 0.84375, 0.875, 0.875, 0.90625, 0.90625, 0.9375, 0.9375, 0.96875, 0.96875, 1.0, 1.0]","[inf, 0.5753424167633057, 0.47102096676826477, 0.4683699309825897, 0.45199042558670044, 0.45028620958328247, 0.448662132024765, 0.43719202280044556, 0.43677064776420593, 0.43625956773757935, 0.4349258244037628, 0.43037641048431396, 0.4302232265472412, 0.4257025122642517, 0.42368268966674805, 0.42141714692115784, 0.42135417461395264, 0.4087284207344055, 0.4078432619571686, 0.36623746156692505, 0.3641430735588074, 0.3586002588272095, 0.3572161793708801, 0.3208872079849243]",14,47,0,18,PreHold,0.698717949,0.52,0.25,"[0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.46153846153846156, 0.46153846153846156, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0]","[0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 1.0, 1.0]","[inf, 0.5528905391693115, 0.5491729974746704, 0.5365469455718994, 0.46103614568710327, 0.4528302550315857, 0.4488770663738251, 0.3928912580013275, 0.38465172052383423, 0.3484993577003479, 0.3484748899936676, 0.3383505642414093, 0.33774077892303467, 0.30676063895225525]",2,11,2,10
,InstituteHold,"1,4",Screen,0.84586466,0.75757576,0.69230769,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.3157894736842105, 0.3157894736842105, 0.42105263157894735, 0.42105263157894735, 1.0, 1.0]","[0.0, 0.07142857142857142, 0.5, 0.5, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0]","[inf, 0.6977545619010925, 0.6044362187385559, 0.5778979063034058, 0.5536952614784241, 0.5097008943557739, 0.4679819643497467, 0.450744092464447, 0.42506012320518494, 0.40567296743392944, 0.39880213141441345, 0.15405970811843872, 0.15149563550949097]",9,16,3,5,PreHold,0.55,0.555555556,0.5,"[0.0, 0.2, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0]","[0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]","[inf, 0.6921903491020203, 0.6902388334274292, 0.5888866186141968, 0.4422023594379425, 0.4366033673286438, 0.40491485595703125, 0.3065894842147827]",2,3,2,2
,InstituteHold,"1,4",Day 0,0.87179487,0.87096774,0.83333333,"[0.0, 0.0, 0.0, 0.05555555555555555, 0.05555555555555555, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0]","[0.0, 0.07692307692307693, 0.38461538461538464, 0.38461538461538464, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0]","[inf, 0.7119643092155457, 0.644286036491394, 0.641667366027832, 0.49556851387023926, 0.3698669970035553, 0.3620406985282898, 0.23228035867214203, 0.21453914046287537]",10,17,1,3,PreHold,0.866666667,0.75,0.75,"[0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.6454554796218872, 0.4540523290634155, 0.3698827028274536, 0.3193846344947815, 0.28863653540611267]",3,3,0,2
,InstituteHold,"1,4",Adj Wk 1,0.89772727,0.85185185,0.81818182,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.625, 0.625, 1.0]","[0.0, 0.09090909090909091, 0.8181818181818182, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 1.0, 1.0]","[inf, 0.7148199081420898, 0.5536133050918579, 0.41692131757736206, 0.4126568138599396, 0.3500367999076843, 0.32901033759117126, 0.2174002230167389]",9,14,2,2,PreHold,0.866666667,0.875,0.857142857,"[0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0]","[inf, 0.5976144075393677, 0.5911070108413696, 0.5362635850906372, 0.2859370708465576]",3,4,1,0
,InstituteHold,"1,4",Overall,0.86842105,0.82417582,0.77777778,"[0.0, 0.0, 0.0, 0.018867924528301886, 0.018867924528301886, 0.03773584905660377, 0.03773584905660377, 0.07547169811320754, 0.07547169811320754, 0.11320754716981132, 0.11320754716981132, 0.3018867924528302, 0.3018867924528302, 0.3584905660377358, 0.3584905660377358, 0.37735849056603776, 0.37735849056603776, 0.49056603773584906, 0.49056603773584906, 0.5849056603773585, 0.5849056603773585, 0.9811320754716981, 0.9811320754716981, 1.0, 1.0]","[0.0, 0.02631578947368421, 0.3157894736842105, 0.3157894736842105, 0.5263157894736842, 0.5263157894736842, 0.6842105263157895, 0.6842105263157895, 0.7105263157894737, 0.7105263157894737, 0.8157894736842105, 0.8157894736842105, 0.8421052631578947, 0.8421052631578947, 0.868421052631579, 0.868421052631579, 0.8947368421052632, 0.8947368421052632, 0.9210526315789473, 0.9210526315789473, 0.9473684210526315, 0.9473684210526315, 0.9736842105263158, 0.9736842105263158, 1.0]","[inf, 0.7148199081420898, 0.6425427198410034, 0.641667366027832, 0.6044362187385559, 0.5778979063034058, 0.553223729133606, 0.5247222185134888, 0.5193579792976379, 0.5064844489097595, 0.4679819643497467, 0.43683895468711853, 0.42506012320518494, 0.41692131757736206, 0.4126568138599396, 0.40567296743392944, 0.39880213141441345, 0.36822158098220825, 0.3620406985282898, 0.33430051803588867, 0.32901033759117126, 0.2174002230167389, 0.21453914046287537, 0.15405970811843872, 0.15149563550949097]",28,47,6,10,PreHold,0.743589744,0.72,0.695652174,"[0.0, 0.07692307692307693, 0.07692307692307693, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.5384615384615384, 0.5384615384615384, 0.7692307692307693, 0.7692307692307693, 1.0]","[0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 1.0, 1.0]","[inf, 0.6921903491020203, 0.5976144075393677, 0.5888866186141968, 0.4540523290634155, 0.44274288415908813, 0.4422023594379425, 0.4235169589519501, 0.40491485595703125, 0.32989418506622314, 0.3193846344947815, 0.2859370708465576]",8,10,3,4
,InstituteHold,"1,5",Screen,0.81960784,0.625,0.33333333,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.6470588235294118, 0.6470588235294118, 1.0]","[0.0, 0.06666666666666667, 0.26666666666666666, 0.26666666666666666, 0.6, 0.6, 0.7333333333333333, 0.7333333333333333, 0.8, 0.8, 0.8666666666666667, 0.8666666666666667, 1.0, 1.0]","[inf, 0.5709576606750488, 0.4626011252403259, 0.43777725100517273, 0.40613847970962524, 0.36072447896003723, 0.34722429513931274, 0.3312718868255615, 0.32737523317337036, 0.3234761655330658, 0.31983813643455505, 0.3081074655056, 0.2990511357784271, 0.2193288505077362]",3,17,0,12,PreHold,0.5,0.444444444,0.285714286,"[0.0, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0]","[0.0, 0.0, 0.0, 0.75, 0.75, 1.0, 1.0]","[inf, 0.6228771805763245, 0.5760622024536133, 0.36039286851882935, 0.23621104657649994, 0.21700285375118256, 0.1636170744895935]",1,3,2,3
,InstituteHold,"1,5",Day 0,0.76470588,0.68965517,0.47058824,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.8235294117647058, 0.8235294117647058, 1.0]","[0.0, 0.08333333333333333, 0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[inf, 0.5661978125572205, 0.5400049686431885, 0.5275802612304688, 0.5003455281257629, 0.49607548117637634, 0.36842793226242065, 0.3336677849292755, 0.33003371953964233, 0.3298426568508148, 0.3288806080818176, 0.2462252378463745, 0.23054556548595428, 0.21831010282039642]",4,16,1,8,PreHold,0.666666667,0.375,0,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0]","[0.0, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0]","[inf, 0.4050077497959137, 0.40400993824005127, 0.39999911189079285, 0.2817184627056122, 0.20690535008907318, 0.16388483345508575]",0,3,0,5
