Original Institue Holdout and Pre-HoldOut,,,,,,,,,,,,,,,,,,,,
split_no,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,,,,,,,,,,,,,,
Institute Hold-Out,0.812,0.842,0.8,0.889,0.802,0.841,,,,,,,,,,,,,,
Pre-Hold Out,0.9,0.889,1,0.8,0.9,0.92,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Repeat Institute Hold,,,,,,,,,,,,,,,,,,,,
Type ->,Holdout Institutes,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn,Type ->,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn
InstituteHold,12,0.93877551,0.857142857,0.857142857,"[0.0, 0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,6,1,1,PreHold,0.36,0.3,0.222222222,"[0.0, 0.0, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]","[0.0, 0.2, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0]",1,2,3,4
InstituteHold,13,0.793650794,0.6875,0.705882353,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 1.0, 1.0]","[0.0, 0.1111111111111111, 0.4444444444444444, 0.4444444444444444, 0.6666666666666666, 0.6666666666666666, 0.8888888888888888, 0.8888888888888888, 1.0]",6,5,2,3,PreHold,0.875,0.7,0.571428571,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",2,5,1,2
InstituteHold,14,0.9375,0.857142857,0.875,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,5,1,1,PreHold,0.708333333,0.5,0.545454545,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",3,2,4,1
InstituteHold,15,0.95,0.846153846,0.875,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,4,1,1,PreHold,0.666666667,0.5,0.444444444,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0, 1.0]","[0.0, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0]",2,3,1,4
InstituteHold,16,0.885714286,0.833333333,0.857142857,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,4,1,1,PreHold,0.916666667,0.8,0.8,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.25, 0.5, 0.5, 1.0, 1.0]",4,4,2,0
InstituteHold,17,0.888888889,0.866666667,0.888888889,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.1111111111111111, 0.5555555555555556, 0.5555555555555556, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,5,1,1,PreHold,0.75,0.9,0.666666667,"[0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.5, 0.5, 1.0, 1.0]",1,8,0,1
InstituteHold,18,0.918367347,0.857142857,0.857142857,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,6,1,1,PreHold,0.833333333,0.7,0.666666667,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]",3,4,2,1
InstituteHold,19,1,1,1,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.125, 1.0, 1.0]",8,5,0,0,PreHold,0.458333333,0.4,0.4,"[0.0, 0.0, 0.0, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.8333333333333334, 0.8333333333333334, 1.0]",2,2,2,4
InstituteHold,20,0.916666667,0.857142857,0.875,"[0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,5,1,1,PreHold,0.952380952,0.8,0.75,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",3,5,2,0
InstituteHold,21,0.836734694,0.714285714,0.75,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,4,3,1,PreHold,0.72,0.7,0.571428571,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0, 1.0]","[0.0, 0.2, 0.6, 0.6, 0.8, 0.8, 1.0]",2,5,0,3
