Level,Type,Holdout Repeat,Visit,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn
sample,Institute,50,Overall,0.8977777777777778,0.8,0.7857142857142857,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.26666666666666666, 0.26666666666666666, 0.4, 0.4, 1.0]","[0.0, 0.06666666666666667, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 0.9333333333333333, 0.9333333333333333, 1.0, 1.0]","[inf, 0.9986347556114197, 0.9846767783164978, 0.9780371189117432, 0.8042670488357544, 0.6949173808097839, 0.4882783591747284, 0.23767893016338348, 0.16848823428153992, 0.08764547854661942, 0.061385106295347214, 0.004257182590663433]",11,13,2,4
sample,Institute,51,Screen,0.9761904761904763,0.8461538461538461,0.8571428571428571,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9352278709411621, 0.720608651638031, 0.5635292530059814, 0.30042803287506104, 0.042492251843214035]",6,5,1,1
sample,Institute,51,Day 0,0.7000000000000001,0.6153846153846154,0.6666666666666666,"[0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0]","[0.0, 0.125, 0.125, 0.625, 0.625, 0.875, 0.875, 1.0, 1.0]","[inf, 0.9625234603881836, 0.9199164509773254, 0.6971756219863892, 0.5740607380867004, 0.2892226576805115, 0.11045721918344498, 0.0919560045003891, 0.02367926575243473]",5,3,2,3
sample,Institute,51,Adj Wk 1,0.6875,0.625,0.5714285714285714,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]","[inf, 0.9102501273155212, 0.896953821182251, 0.6069527864456177, 0.4038589596748352, 0.038807645440101624, 0.028402745723724365]",2,3,1,2
sample,Institute,51,Overall,0.8245614035087719,0.7058823529411765,0.7222222222222222,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5333333333333333, 0.5333333333333333, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[inf, 0.9625234603881836, 0.930884063243866, 0.9199164509773254, 0.6971756219863892, 0.5635292530059814, 0.4038589596748352, 0.3200405240058899, 0.2892226576805115, 0.11045721918344498, 0.0919560045003891, 0.038807645440101624, 0.028402745723724365, 0.02367926575243473]",13,11,4,6
sample,Institute,52,Screen,0.96875,0.9166666666666666,0.9411764705882353,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]","[inf, 0.99977707862854, 0.9418084025382996, 0.9268792271614075, 0.7087525725364685, 0.00024592882255092263]",8,3,1,0
sample,Institute,52,Day 0,0.9285714285714286,0.9090909090909091,0.9333333333333333,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 1.0, 1.0]","[inf, 0.9991739392280579, 0.9939339756965637, 0.9775236248970032, 0.8839478492736816, 0.0024700143840163946]",7,3,1,0
sample,Institute,52,Adj Wk 1,1.0,0.8333333333333334,0.8888888888888888,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.25, 1.0, 1.0]","[inf, 0.9997854232788086, 0.9840457439422607, 0.04641333222389221]",4,1,1,0
sample,Institute,52,Overall,0.9578947368421054,0.896551724137931,0.926829268292683,"[0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 1.0]","[0.0, 0.05263157894736842, 0.7368421052631579, 0.7368421052631579, 0.8421052631578947, 0.8421052631578947, 1.0, 1.0]","[inf, 0.9997854232788086, 0.9840457439422607, 0.9775236248970032, 0.9418084025382996, 0.9268792271614075, 0.7087525725364685, 0.00024592882255092263]",19,7,3,0
sample,Institute,53,Screen,0.9285714285714286,0.7692307692307693,0.8,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9988238215446472, 0.7432184219360352, 0.6780935525894165, 0.616997480392456, 0.5476904511451721, 0.42761871218681335, 0.0032517951913177967]",6,4,2,1
