Level,Type,Holdout Institutes,Visit,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn
sample,Institute,"3,4",Adj Wk 1,1.0,0.8888888888888888,0.8571428571428571,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.3333333333333333, 1.0, 1.0]","[inf, 0.9442501068115234, 0.7287945747375488, 0.009373325854539871]",3,5,1,0
sample,Institute,"3,4",Overall,0.8645833333333333,0.8214285714285714,0.8148148148148148,"[0.0, 0.0, 0.0625, 0.0625, 0.125, 0.125, 0.25, 0.25, 0.6875, 0.6875, 1.0]","[0.0, 0.08333333333333333, 0.08333333333333333, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 1.0, 1.0]","[inf, 0.9835359454154968, 0.9496286511421204, 0.7853614687919617, 0.7773686051368713, 0.6694256067276001, 0.6173183917999268, 0.5551931262016296, 0.03988243266940117, 0.025306064635515213, 0.00278177740983665]",11,12,4,1
sample,Institute,"3,5",Screen,0.9,0.8888888888888888,0.9090909090909091,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.2, 0.6, 0.6, 1.0, 1.0]","[inf, 0.9535931944847107, 0.8005428314208984, 0.7956680059432983, 0.5771340727806091, 0.07225021719932556]",5,3,1,0
sample,Institute,"3,5",Day 0,0.75,0.5714285714285714,0.6666666666666666,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]","[inf, 0.8559183478355408, 0.8072906732559204, 0.7267839908599854, 0.6112564206123352, 0.583389163017273, 0.4423513114452362, 0.013947950676083565]",3,1,2,1
sample,Institute,"3,5",Adj Wk 1,1.0,0.875,0.8888888888888888,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.25, 1.0, 1.0]","[inf, 0.9952706694602966, 0.7606995105743408, 0.012962074019014835]",4,3,1,0
sample,Institute,"3,5",Overall,0.916083916083916,0.7916666666666666,0.8275862068965517,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 1.0]","[0.0, 0.07692307692307693, 0.5384615384615384, 0.5384615384615384, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0, 1.0]","[inf, 0.9952706694602966, 0.8005428314208984, 0.7956680059432983, 0.7590618133544922, 0.7267839908599854, 0.6112564206123352, 0.583389163017273, 0.5771340727806091, 0.5103341341018677, 0.4423513114452362, 0.012962074019014835]",12,7,4,1
sample,Institute,"3,6",Screen,0.9428571428571428,0.75,0.7272727272727273,"[0.0, 0.0, 0.0, 0.2857142857142857, 0.2857142857142857, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9987266659736633, 0.9951499700546265, 0.6580598950386047, 0.4490298926830292, 0.002205037046223879]",4,5,2,1
sample,Institute,"3,6",Day 0,0.9333333333333333,0.9090909090909091,0.9230769230769231,"[0.0, 0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[inf, 0.9954837560653687, 0.9584501385688782, 0.9468075037002563, 0.8544971942901611, 0.007257126737385988]",6,4,1,0
sample,Institute,"3,6",Adj Wk 1,1.0,0.8571428571428571,0.8,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.3333333333333333, 1.0, 1.0]","[inf, 0.9525818824768066, 0.06755302846431732, 0.004883136600255966]",2,4,0,1
sample,Institute,"3,6",Overall,0.9419642857142857,0.8333333333333334,0.8275862068965517,"[0.0, 0.0, 0.0, 0.0625, 0.0625, 0.125, 0.125, 0.1875, 0.1875, 0.3125, 0.3125, 1.0]","[0.0, 0.07142857142857142, 0.6428571428571429, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]","[inf, 0.9987266659736633, 0.9525818824768066, 0.9468075037002563, 0.9390239715576172, 0.9119231104850769, 0.8128332495689392, 0.6580598950386047, 0.4490298926830292, 0.2355889528989792, 0.06755302846431732, 0.002205037046223879]",12,13,3,2
sample,Institute,"4,5",Screen,0.7380952380952381,0.6153846153846154,0.6666666666666666,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 1.0, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0]","[inf, 0.9957398772239685, 0.894814670085907, 0.7518494129180908, 0.6751339435577393, 0.5609615445137024, 0.25333914160728455, 0.004049863666296005, 0.003683335380628705]",5,3,3,2
sample,Institute,"4,5",Day 0,0.7428571428571429,0.75,0.8235294117647058,"[0.0, 0.0, 0.0, 0.6, 0.6, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0, 1.0]","[inf, 0.9990147948265076, 0.9726134538650513, 0.8907992243766785, 0.5050703883171082, 0.006418658420443535]",7,2,3,0
sample,Institute,"4,5",Adj Wk 1,1.0,1.0,1.0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.2, 1.0, 1.0]","[inf, 0.999685525894165, 0.8790144324302673, 0.0030926738400012255]",5,6,0,0
sample,Institute,"4,5",Overall,0.8297213622291021,0.7777777777777778,0.8095238095238095,"[0.0, 0.0, 0.0, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.47058823529411764, 0.47058823529411764, 0.9411764705882353, 0.9411764705882353, 1.0]","[0.0, 0.05263157894736842, 0.42105263157894735, 0.42105263157894735, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[inf, 0.999685525894165, 0.9726134538650513, 0.970374345779419, 0.894814670085907, 0.8907992243766785, 0.8790144324302673, 0.8727877736091614, 0.843195915222168, 0.7518494129180908, 0.6751339435577393, 0.5609615445137024, 0.5050703883171082, 0.26532217860221863, 0.25333914160728455, 0.004049863666296005, 0.003683335380628705, 0.0030926738400012255]",17,11,6,2
sample,Institute,"4,6",Screen,0.9365079365079365,0.8125,0.8,"[0.0, 0.0, 0.0, 0.4444444444444444, 0.4444444444444444, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9924896955490112, 0.9250082969665527, 0.3049766421318054, 0.08659171313047409, 0.006117869168519974]",6,7,2,1
sample,Institute,"4,6",Day 0,0.9206349206349206,0.8125,0.8421052631578947,"[0.0, 0.0, 0.0, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.1111111111111111, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]","[inf, 0.9694040417671204, 0.8904227018356323, 0.7347753643989563, 0.7287355661392212, 0.48788541555404663, 0.4288378655910492, 0.01071652676910162]",8,5,2,1
sample,Institute,"4,6",Adj Wk 1,1.0,1.0,1.0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.25, 1.0, 1.0]","[inf, 0.949602484703064, 0.6956912875175476, 0.006180125288665295]",4,6,0,0
sample,Institute,"4,6",Overall,0.9590909090909091,0.8571428571428571,0.8571428571428571,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.22727272727272727, 0.22727272727272727, 0.36363636363636365, 0.36363636363636365, 1.0]","[0.0, 0.05, 0.8, 0.8, 0.85, 0.85, 0.9, 0.9, 0.95, 0.95, 1.0, 1.0]","[inf, 0.9924896955490112, 0.8715330362319946, 0.7347753643989563, 0.7287355661392212, 0.7265484929084778, 0.6956912875175476, 0.48788541555404663, 0.4288378655910492, 0.2606317102909088, 0.08659171313047409, 0.006117869168519974]",18,18,4,2
sample,Institute,"5,6",Screen,0.9821428571428572,0.8,0.8421052631578947,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]","[inf, 0.9998329281806946, 0.9025017023086548, 0.9017136096954346, 0.867733359336853, 0.0004098445060662925]",8,4,3,0
sample,Institute,"5,6",Day 0,0.875,0.7857142857142857,0.8235294117647058,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.125, 0.5, 0.5, 0.875, 0.875, 1.0, 1.0]","[inf, 0.9999274015426636, 0.9951121211051941, 0.9940721392631531, 0.9189348220825195, 0.46869149804115295, 0.21716392040252686, 0.0034203827381134033]",7,4,2,1
sample,Institute,"5,6",Adj Wk 1,0.9,0.7777777777777778,0.8,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9997560977935791, 0.9926114082336426, 0.1385522335767746, 0.07775335013866425, 0.00040879493462853134]",4,3,1,1
sample,Institute,"5,6",Overall,0.9355742296918768,0.7894736842105263,0.8260869565217391,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 1.0]","[0.0, 0.047619047619047616, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 0.8571428571428571, 0.9047619047619048, 0.9047619047619048, 0.9523809523809523, 0.9523809523809523, 1.0, 1.0]","[inf, 0.9999274015426636, 0.9951121211051941, 0.9940721392631531, 0.9025017023086548, 0.9017136096954346, 0.867733359336853, 0.46869149804115295, 0.21716392040252686, 0.1385522335767746, 0.07775335013866425, 0.00040879493462853134]",19,11,6,2
